Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-06-25,2.3425,2.3425,2.3425,2.3425
2007-06-26,2.2844,2.2844,2.2844,2.2844
2007-06-27,2.2808,2.2808,2.2808,2.2808
2007-06-28,2.2909,2.2909,2.2909,2.2909
2007-06-29,2.3179,2.3179,2.3179,2.3179
2007-07-02,2.3162,2.3162,2.3162,2.3162
2007-07-03,2.3319,2.3319,2.3319,2.3319
2007-07-05,2.3319,2.3319,2.3319,2.3319
2007-07-06,2.3671,2.3671,2.3671,2.3671
2007-07-09,2.4046,2.4046,2.4046,2.4046
2007-07-10,2.4046,2.4046,2.4046,2.4046
2007-07-11,2.8663,2.8663,2.8663,2.8663
2007-07-12,2.3663,2.3663,2.3663,2.3663
2007-07-13,2.2723,2.2723,2.2723,2.2723
2007-07-16,2.1562,2.1562,2.1562,2.1562
2007-07-17,2.1232,2.1232,2.1232,2.1232
2007-07-18,2.2153,2.2153,2.2153,2.2153
2007-07-19,2.2089,2.2089,2.2089,2.2089
2007-07-20,2.1771,2.1771,2.1771,2.1771
2007-07-23,2.1116,2.1116,2.1116,2.1116
2007-07-24,2.0477,2.0477,2.0477,2.0477
2007-07-25,2.0879,2.0879,2.0879,2.0879
2007-07-26,2.0734,2.0734,2.0734,2.0734
2007-07-27,2.0992,2.0992,2.0992,2.0992
2007-07-30,2.0831,2.0831,2.0831,2.0831
2007-07-31,2.0809,2.0809,2.0809,2.0809
2007-08-01,2.0596,2.0596,2.0596,2.0596
2007-08-02,2.0624,2.0624,2.0624,2.0624
2007-08-03,2.059,2.059,2.059,2.059
2007-08-06,1.9509,1.9509,1.9509,1.9509
2007-08-07,1.9717,1.9717,1.9717,1.9717
2007-08-08,1.9752,1.9752,1.9752,1.9752
2007-08-09,1.9752,1.9752,1.9752,1.9752
2007-08-10,1.9985,1.9985,1.9985,1.9985
2007-08-13,1.9975,1.9975,1.9975,1.9975
2007-08-14,2.0469,2.0469,2.0469,2.0469
2007-08-15,2.0788,2.0788,2.0788,2.0788
2007-08-16,2.0483,2.0483,2.0483,2.0483
2007-08-17,2.0955,2.0955,2.0955,2.0955
2007-08-20,1.979,1.979,1.979,1.979
2007-08-21,1.8937,1.8937,1.8937,1.8937
2007-08-22,1.919,1.919,1.919,1.919
2007-08-23,1.9582,1.9582,1.9582,1.9582
2007-08-24,1.9582,1.9582,1.9582,1.9582
2007-08-27,2.0793,2.0793,2.0793,2.0793
2007-08-28,2.0456,2.0456,2.0456,2.0456
2007-08-29,2.1215,2.1215,2.1215,2.1215
2007-08-30,2.0789,2.0789,2.0789,2.0789
2007-08-31,1.9638,1.9638,1.9638,1.9638
2007-09-04,2.081,2.081,2.081,2.081
2007-09-05,2.089,2.089,2.089,2.089
2007-09-06,2.0512,2.0512,2.0512,2.0512
2007-09-07,2.0864,2.0864,2.0864,2.0864
2007-09-10,2.0636,2.0636,2.0636,2.0636
2007-09-11,1.9873,1.9873,1.9873,1.9873
2007-09-12,2.0235,2.0235,2.0235,2.0235
2007-09-13,2.0626,2.0626,2.0626,2.0626
2007-09-14,2.0551,2.0551,2.0551,2.0551
2007-09-17,2.0492,2.0492,2.0492,2.0492
2007-09-18,2.0715,2.0715,2.0715,2.0715
2007-09-19,2.1121,2.1121,2.1121,2.1121
2007-09-20,2.1463,2.1463,2.1463,2.1463
2007-09-21,2.127,2.127,2.127,2.127
2007-09-24,2.0909,2.0909,2.0909,2.0909
2007-09-25,2.0454,2.0454,2.0454,2.0454
2007-09-26,2.0324,2.0324,2.0324,2.0324
2007-09-27,2.0976,2.0976,2.0976,2.0976
2007-09-28,2.067,2.067,2.067,2.067
2007-10-01,1.9813,1.9813,1.9813,1.9813
2007-10-02,1.9828,1.9828,1.9828,1.9828
2007-10-03,1.9959,1.9959,1.9959,1.9959
2007-10-04,2.0647,2.0647,2.0647,2.0647
2007-10-05,2.0643,2.0643,2.0643,2.0643
2007-10-08,2.0164,2.0164,2.0164,2.0164
2007-10-09,2.0302,2.0302,2.0302,2.0302
2007-10-10,2.0411,2.0411,2.0411,2.0411
2007-10-11,2.0793,2.0793,2.0793,2.0793
2007-10-12,2.0978,2.0978,2.0978,2.0978
2007-10-15,2.1812,2.1812,2.1812,2.1812
2007-10-16,2.1912,2.1912,2.1912,2.1912
2007-10-17,2.1641,2.1641,2.1641,2.1641
2007-10-18,2.2026,2.2026,2.2026,2.2026
2007-10-19,2.1862,2.1862,2.1862,2.1862
2007-10-22,2.1446,2.1446,2.1446,2.1446
2007-10-23,2.1114,2.1114,2.1114,2.1114
2007-10-24,2.1562,2.1562,2.1562,2.1562
2007-10-25,2.1562,2.1562,2.1562,2.1562
2007-10-26,2.2815,2.2815,2.2815,2.2815
2007-10-29,2.3349,2.3349,2.3349,2.3349
2007-10-30,2.2721,2.2721,2.2721,2.2721
2007-10-31,2.355,2.355,2.355,2.355
2007-11-01,2.3782,2.3782,2.3782,2.3782
2007-11-02,2.472,2.472,2.472,2.472
2007-11-05,2.4098,2.4098,2.4098,2.4098
2007-11-06,2.4637,2.4637,2.4637,2.4637
2007-11-07,2.4693,2.4693,2.4693,2.4693
2007-11-08,2.4701,2.4701,2.4701,2.4701
2007-11-09,2.4985,2.4985,2.4985,2.4985
2007-11-12,2.4427,2.4427,2.4427,2.4427
2007-11-13,2.3442,2.3442,2.3442,2.3442
2007-11-14,2.3941,2.3941,2.3941,2.3941
