Date,y_hat,y
2019-07-12,1.9855031986067813,1.9758
2019-07-15,1.9735930676570723,1.9302
2019-07-16,1.9307683650745866,1.8916
2019-07-17,1.8925436499947428,1.8774
2019-07-18,1.875919330117327,1.8354
2019-07-19,1.8357604335269748,1.841
2019-07-22,1.8388438811921834,1.8282
2019-07-23,1.8255923924765596,1.8599
2019-07-24,1.8563465781917992,1.8579
2019-07-25,1.8543293796698934,1.8814
2019-07-26,1.87731136040094,1.8759
2019-07-29,1.8730989043926205,1.8630000000000002
2019-07-30,1.86219549888697,1.8948
2019-07-31,1.8913425166199493,1.8607
2019-08-01,1.8623934001656268,1.7446
2019-08-02,1.753885311227186,1.7792
2019-08-05,1.7796241764731309,1.7165
2019-08-06,1.7188882140970727,1.6857
2019-08-07,1.6884586175841114,1.6196
2019-08-08,1.6239966069020608,1.6456
2019-08-09,1.6437125879698455,1.673
2019-08-12,1.6706980007457473,1.666
2019-08-13,1.6650508266377775,1.7365
2019-08-14,1.7355729003177753,1.6729
2019-08-15,1.6727030738471662,1.6349
2019-08-16,1.6347647147644349,1.6557
2019-08-19,1.650530903587732,1.6654
2019-08-20,1.6593465630022162,1.681
2019-08-21,1.6765171907384446,1.693
2019-08-22,1.6872791776199905,1.6662
2019-08-23,1.6632144673400973,1.643
2019-08-26,1.642011323564856,1.6173
2019-08-27,1.6151735550521134,1.6502
2019-08-28,1.645131935581555,1.6804
2019-08-29,1.6735772492991439,1.6859
2019-08-30,1.6815385886729124,1.5275
2019-09-03,1.5397248766768472,1.4712
2019-09-04,1.4789806892310047,1.5334
2019-09-05,1.532793104534558,1.5476
2019-09-06,1.544915823203616,1.5719999999999998
2019-09-09,1.5726405110975674,1.5855
2019-09-10,1.5833501685348588,1.5904
2019-09-11,1.588842013110725,1.57
2019-09-12,1.5696878384120194,1.5536
2019-09-13,1.5558840391538478,1.5537
2019-09-16,1.5527834773479738,1.7530000000000001
2019-09-17,1.7426306328895076,1.6742
2019-09-18,1.6742852956004,1.6567
2019-09-19,1.6583907233505193,1.7
2019-09-20,1.696456187735198,1.68
2019-09-23,1.6775329838451745,1.6846
2019-09-24,1.6845545568575917,1.6539
2019-09-25,1.654651896795864,1.6267
2019-09-26,1.6282120919651595,1.6605
2019-09-27,1.657328402785455,1.6494
2019-09-30,1.6476391948921667,1.5681
2019-10-01,1.5722691853215014,1.5743
2019-10-02,1.573707886981056,1.5446
2019-10-03,1.5452807074276125,1.5581
2019-10-04,1.5577094978292993,1.5718
2019-10-07,1.5695062331523513,1.5718
2019-10-08,1.5694747299525673,1.5811
2019-10-09,1.580503986450445,1.5871
2019-10-10,1.5846538036046158,1.6215
2019-10-11,1.620427795408979,1.639
2019-10-14,1.635840453481026,1.6128
2019-10-15,1.6142325258345305,1.6136
2019-10-16,1.6119477529324633,1.6235
2019-10-17,1.621041163075462,1.6217
2019-10-18,1.6198448834837587,1.6207
2019-10-21,1.6180087837705233,1.6068
2019-10-22,1.605816216978313,1.6087
2019-10-23,1.6061754582942886,1.6516
2019-10-24,1.649011149097761,1.6638
2019-10-25,1.660521802066147,1.6708
2019-10-28,1.6685427895425158,1.6737
2019-10-29,1.6706759598875605,1.6834
2019-10-30,1.6810356175614478,1.6640000000000001
2019-10-31,1.662417833471323,1.595
2019-11-01,1.5988878860767515,1.6558
2019-11-04,1.654191089693981,1.6638
2019-11-05,1.6595598339211148,1.6758
2019-11-06,1.6724347617625783,1.6268
2019-11-07,1.6275870558781604,1.6344
2019-11-08,1.6333848264823354,1.6321
2019-11-11,1.6323923614912363,1.6098
2019-11-12,1.6089650150178407,1.6138
2019-11-13,1.6119174706120094,1.636
2019-11-14,1.6337090150676268,1.6154
2019-11-15,1.6139021744416926,1.6337
2019-11-18,1.6323281470685924,1.6221
2019-11-19,1.621345717905221,1.6031
2019-11-20,1.6028429324158329,1.6571
2019-11-21,1.6551795573326609,1.7039
2019-11-22,1.7003305106738535,1.6754
2019-11-25,1.6742209959038874,1.6743
2019-11-26,1.6740214958820103,1.7034
2019-11-27,1.7001716845567176,1.6791
2019-11-29,1.6786139809547755,1.6012
