Date,y_hat,y
2018-11-30,1.4552513150156798,1.3973
2018-12-03,1.4003064216825323,1.4315
2018-12-04,1.429786214146643,1.4423
2018-12-05,1.440401258370068,1.4486
2018-12-06,1.4485947152076166,1.4376
2018-12-07,1.4409073379576318,1.4886
2018-12-10,1.4884353014759322,1.4205
2018-12-11,1.4226432495473091,1.4399
2018-12-12,1.4394669013281292,1.4174
2018-12-13,1.4166888183974689,1.4794
2018-12-14,1.4777536098471473,1.4373
2018-12-17,1.4373060687307095,1.4103
2018-12-18,1.41277332446847,1.3511
2018-12-19,1.3543596753678024,1.3847
2018-12-20,1.3830494622793592,1.3224
2018-12-21,1.3234524918463182,1.3211
2018-12-24,1.3215080361852753,1.2595
2018-12-26,1.261135190215691,1.329
2018-12-27,1.3286211759422257,1.3047
2018-12-28,1.3025760895909282,1.3275
2018-12-31,1.324761274365565,1.3042
2019-01-02,1.3069820632864921,1.3255
2019-01-03,1.3283099437044303,1.3501
2019-01-04,1.3505702759390688,1.3478
2019-01-07,1.3484487978592168,1.3394
2019-01-08,1.3401473945316178,1.3613
2019-01-09,1.3612207872725062,1.4251
2019-01-10,1.4240622902876285,1.4324
2019-01-11,1.4319797869130566,1.4016
2019-01-14,1.404391449940506,1.364
2019-01-15,1.3685777037400457,1.4109
2019-01-16,1.4116233248896561,1.4158
2019-01-17,1.4177580241466372,1.4293
2019-01-18,1.431816387152334,1.4487
2019-01-22,1.4496064273444147,1.4038
2019-01-23,1.4084069032292983,1.3863
2019-01-24,1.391222403204683,1.3884
2019-01-25,1.3902475655970936,1.389
2019-01-28,1.390593582100816,1.3339
2019-01-29,1.339758483198243,1.3489
2019-01-30,1.3521085502128103,1.3857
2019-01-31,1.385807652227577,1.3775
2019-02-01,1.3774620510099815,1.4385
2019-02-04,1.4384275726565612,1.4321
2019-02-05,1.4328431717832362,1.4261
2019-02-06,1.4279169796671107,1.4583
2019-02-07,1.4602914920678551,1.4268
2019-02-08,1.431003954730065,1.4445
2019-02-11,1.4469769611206065,1.4199
2019-02-12,1.4223033406153396,1.4288
2019-02-13,1.4293864346684402,1.4644
2019-02-14,1.4640748379987474,1.5086
2019-02-15,1.5118581604410826,1.5718
2019-02-19,1.574751670795325,1.5635
2019-02-20,1.568502311649552,1.5975
2019-02-21,1.6030762912102423,1.6152
2019-02-22,1.6183408642624924,1.6077
2019-02-25,1.612835651519335,1.5449
2019-02-26,1.5547753105048239,1.587
2019-02-27,1.5907465862369978,1.6343
2019-02-28,1.6351701619950392,1.7531
2019-03-01,1.7421272597060815,1.7312
2019-03-04,1.729997117595273,1.7484
2019-03-05,1.7477860817619622,1.7675
2019-03-06,1.766159214570324,1.7886
2019-03-07,1.7875129992265317,1.8030000000000002
2019-03-08,1.8012148471349065,1.8044
2019-03-11,1.8068008482857165,1.827
2019-03-12,1.8253864760214205,1.8164
2019-03-13,1.8152245615295854,1.8576
2019-03-14,1.8548292421462325,1.8489
2019-03-15,1.8470875746690476,1.8559
2019-03-18,1.8559062894732947,1.8814
2019-03-19,1.879400370478652,1.8949
2019-03-20,1.8921912791030868,1.9162
2019-03-21,1.9144381191911914,1.9203
2019-03-22,1.91753631259551,1.9258
2019-03-25,1.9244173900855808,1.9378
2019-03-26,1.9350605198720725,1.9546
2019-03-27,1.9511198811730879,1.8952
2019-03-28,1.8986530837936049,1.8792
2019-03-29,1.8837509845565457,1.883
2019-04-01,1.8831008792810873,1.8994
2019-04-02,1.898147438910938,1.9281
2019-04-03,1.9266027887945067,1.9519
2019-04-04,1.9500253561496539,1.9401
2019-04-05,1.9399208913525596,1.9679
2019-04-08,1.9680999978309395,1.9866
2019-04-09,1.984490476074349,2.0
2019-04-10,1.9980235781013111,2.0695
2019-04-11,2.067197098437034,2.0312
2019-04-12,2.0322563959567725,2.0368
2019-04-15,2.036746313082232,2.0132
2019-04-16,2.0141831448234604,2.0314
2019-04-17,2.0314361867386417,2.0418
2019-04-18,2.0393835315167204,2.0709999999999997
2019-04-22,2.0685261729411883,2.1301
2019-04-23,2.1256616850944585,2.1306
2019-04-24,2.128313104175948,2.1272
2019-04-25,2.1265674734268027,2.1335
2019-04-26,2.131372857475853,2.1009
2019-04-29,2.1031044238099317,2.082
2019-04-30,2.0824714056768743,2.0649
2019-05-01,2.068750658431882,2.0647
2019-05-02,2.0654728630368657,2.0165
2019-05-03,2.020700720033613,2.0274
2019-05-06,2.0275656639381663,1.9982
2019-05-07,2.0001769857391336,1.9475
2019-05-08,1.9526065003212738,1.9743
2019-05-09,1.975765817336526,1.9757
2019-05-10,1.9760265076880528,1.9881
2019-05-13,1.9877111607167919,1.9631
2019-05-14,1.9647228664419272,1.9783
2019-05-15,1.9779983336890274,2.0149
2019-05-16,2.013389268437926,2.0636
2019-05-17,2.0601030109299154,2.0467
2019-05-20,2.046340344594015,2.01
2019-05-21,2.012474828921259,2.0191
2019-05-22,2.0193147276845016,1.9897
2019-05-23,1.9921302067260265,1.9118
2019-05-24,1.918169386869987,1.9335
2019-05-28,1.9343629093527417,1.955
2019-05-29,1.95300283323756,1.9453
2019-05-30,1.9464719829536925,1.8747
2019-05-31,1.8791316096491615,1.7695
2019-06-03,1.7787394119953772,1.7406
2019-06-04,1.744632466575431,1.7244
2019-06-05,1.7269744337669264,1.6909999999999998
2019-06-06,1.694256300199028,1.7074
2019-06-07,1.7080189358917308,1.7375
2019-06-10,1.7358413838561058,1.7319
2019-06-11,1.7305751934296585,1.7557
2019-06-12,1.75417146296742,1.6846
2019-06-13,1.688532768228467,1.7233
