Date,y,y_hat
2018-11-30,1.3973,1.4592779127700097
2018-12-03,1.4315,1.3986535842735415
2018-12-04,1.4423,1.4308033320218385
2018-12-05,1.4486,1.4393609004879282
2018-12-06,1.4376,1.4490925187351857
2018-12-07,1.4886,1.4433434850482478
2018-12-10,1.4205,1.492349111323004
2018-12-11,1.4399,1.419301300988933
2018-12-12,1.4174,1.4406003885740766
2018-12-13,1.4794,1.4141562272032386
2018-12-14,1.4373,1.4811345662480593
2018-12-17,1.4103,1.4338770360401836
2018-12-18,1.3511,1.4130558732124816
2018-12-19,1.3847,1.3528301870000137
2018-12-20,1.3224,1.384128716922902
2018-12-21,1.3211,1.3194147088785315
2018-12-24,1.2595,1.321810816922281
2018-12-26,1.329,1.2577443580638739
2018-12-27,1.3047,1.3339699399859282
2018-12-28,1.3275,1.2984384463532481
2018-12-31,1.3042,1.3239036586220623
2019-01-02,1.3255,1.307839515343725
2019-01-03,1.3501,1.3328931102464878
2019-01-04,1.3478,1.353079622386752
2019-01-07,1.3394,1.3489084938725209
2019-01-08,1.3613,1.34020056875506
2019-01-09,1.4251,1.3629564355078274
2019-01-10,1.4324,1.428292096802236
2019-01-11,1.4016,1.4321604750808512
2019-01-14,1.364,1.404648544949239
2019-01-15,1.4109,1.3700731525770014
2019-01-16,1.4158,1.4162206203496244
2019-01-17,1.4293,1.420124601457506
2019-01-18,1.4487,1.435451779014493
2019-01-22,1.4038,1.4521138172963761
2019-01-23,1.3863,1.4093161311461966
2019-01-24,1.3884,1.394713825936532
2019-01-25,1.389,1.3922722944520576
2019-01-28,1.3339,1.39224016017776
2019-01-29,1.3489,1.3410894515629999
2019-01-30,1.3857,1.3565620314636622
2019-01-31,1.3775,1.3889481424268952
2019-02-01,1.4385,1.3767479730237566
2019-02-04,1.4321,1.4433899384319866
2019-02-05,1.4261,1.43305964039185
2019-02-06,1.4583,1.4292427234379448
2019-02-07,1.4268,1.4649466723370166
2019-02-08,1.4445,1.4326101939086016
2019-02-11,1.4199,1.450926018185485
2019-02-12,1.4288,1.4226718133491008
2019-02-13,1.4644,1.4307126009667408
2019-02-14,1.5086,1.4667004154625345
2019-02-15,1.5718,1.5187737045377472
2019-02-19,1.5635,1.5828929987070182
2019-02-20,1.5975,1.5728347807423257
2019-02-21,1.6152,1.611456501380054
2019-02-22,1.6077,1.6229395658340673
2019-02-25,1.5449,1.6173678500675681
2019-02-26,1.587,1.5595295534637534
2019-02-27,1.6343,1.597968238072862
2019-02-28,1.7531,1.6399176650914251
2019-03-01,1.7312,1.7407306908415232
2019-03-04,1.7484,1.7270155690779274
2019-03-05,1.7675,1.748566746071321
2019-03-06,1.7886,1.7663642993946995
2019-03-07,1.803,1.7881328650206902
2019-03-08,1.8044,1.8005913012245758
2019-03-11,1.827,1.809320365355184
2019-03-12,1.8164,1.8255983825250315
2019-03-13,1.8576,1.813188231956678
2019-03-14,1.8489,1.8553915979541964
2019-03-15,1.8559,1.8445655925486983
2019-03-18,1.8814,1.8564803203208928
2019-03-19,1.8949,1.8794635344653505
