Date,Open,High,Low,Close,Volume
2009-01-02,903.25,934.73,899.35,931.8,869314816
2009-01-05,931.8,936.63,919.53,927.45,1050356160
2009-01-06,927.45,943.85,927.28,934.7,1079731712
2009-01-07,934.7,934.7,902.37,906.65,1085807232
2009-01-08,906.65,910,896.81,909.73,1014393024
2009-01-09,909.73,911.93,888.31,890.35,992015296
2009-01-12,890.35,890.4,864.32,870.26,1071740928
2009-01-13,870.26,877.02,862.02,871.79,1191231360
2009-01-14,871.79,871.79,836.93,842.62,1255217152
2009-01-15,842.62,851.59,817.04,843.74,1493221504
2009-01-16,843.74,858.13,830.66,850.12,1535507072
2009-01-20,850.12,850.12,804.47,805.22,1503438848
2009-01-21,805.22,841.72,804.3,840.24,1517734144
2009-01-22,840.24,840.24,811.29,827.5,1476707840
2009-01-23,827.5,838.61,806.07,831.95,1322237824
2009-01-26,831.95,852.53,827.69,836.57,1161253120
2009-01-27,836.57,850.45,835.4,845.71,1054689856
2009-01-28,845.71,877.86,845.71,874.09,1378309888
2009-01-29,874.09,874.09,844.15,845.14,1275042304
2009-01-30,845.14,851.66,821.67,825.88,1363640448
2009-02-02,825.88,830.78,812.87,825.44,1216740608
2009-02-03,825.44,842.6,821.98,838.51,1256192768
2009-02-04,838.51,851.85,829.18,832.23,1285768064
2009-02-05,832.23,850.55,819.91,845.85,1525772032
2009-02-06,845.85,870.75,845.42,868.6,1396981632
2009-02-09,868.6,875.01,861.65,869.89,1118064768
2009-02-10,869.89,869.89,822.99,827.16,1636009472
2009-02-11,827.16,838.22,822.3,833.74,1163636864
2009-02-12,833.74,835.38,808.06,835.19,1337340416
2009-02-13,835.19,839.43,825.21,826.84,1053625536
2009-02-17,826.84,826.84,789.17,789.17,1389332480
2009-02-18,789.17,796.17,780.43,788.42,1227004032
2009-02-19,788.42,797.58,777.03,778.94,1306975488
2009-02-20,778.94,778.94,754.25,770.05,1900287104
2009-02-23,770.05,777.85,742.37,743.33,1413481984
2009-02-24,743.33,775.49,743.33,773.14,1626453120
2009-02-25,773.14,780.12,752.89,764.9,1664810368
2009-02-26,764.9,779.42,751.75,752.83,1359104768
2009-02-27,752.83,752.83,734.52,735.09,2001408128
2009-03-02,735.09,735.09,699.7,700.82,1694930688
2009-03-03,700.82,711.67,692.3,696.33,1634702592
2009-03-04,696.33,724.12,696.33,712.87,1592852224
2009-03-05,712.87,712.87,677.93,682.55,1686009984
2009-03-06,682.55,699.09,666.79,683.38,1603034624
2009-03-09,683.38,695.27,672.88,676.53,1362884352
2009-03-10,676.53,719.6,676.53,719.6,1913595008
2009-03-11,719.6,731.92,713.85,721.36,1549388928
2009-03-12,721.36,752.63,714.76,750.74,1546253824
2009-03-13,750.74,758.29,742.46,756.55,1440976256
2009-03-16,756.55,774.53,753.37,753.89,1657814400
2009-03-17,753.89,778.12,749.93,778.12,1312155904
2009-03-18,778.12,803.04,765.64,794.35,1884047232
2009-03-19,794.35,803.24,781.82,784.04,1688184960
2009-03-20,784.04,788.91,766.2,768.54,2272093952
2009-03-23,768.54,823.37,768.54,822.92,1639415296
2009-03-24,822.92,823.65,805.48,806.25,1329965952
2009-03-25,806.25,826.78,791.37,813.88,1535912448
2009-03-26,813.88,832.98,813.88,832.86,1522413696
2009-03-27,832.86,832.86,813.43,815.94,1177158784
2009-03-30,815.94,815.94,779.81,787.53,1296444544
2009-03-31,787.53,810.48,787.53,797.87,1426470528
2009-04-01,797.87,813.62,783.32,811.08,1325356928
2009-04-02,811.08,845.61,811.08,834.38,1619523456
2009-04-03,834.38,842.5,826.7,842.5,1263180160
2009-04-06,842.5,842.5,822.79,835.48,1081728896
2009-04-07,835.48,835.48,814.53,815.55,1073524352
2009-04-08,815.55,828.42,814.84,825.16,1163362176
2009-04-09,825.16,856.56,825.16,856.56,1530586240
2009-04-13,856.56,864.31,845.35,858.73,1270561280
2009-04-14,858.73,858.73,840.25,841.5,1514615936
2009-04-15,841.5,852.93,835.58,852.06,1284948096
2009-04-16,852.06,870.35,847.04,865.3,1320285312
2009-04-17,865.3,875.63,860.87,869.6,1753596672
2009-04-20,869.6,869.6,832.39,832.39,1682737152
2009-04-21,832.39,850.09,826.83,850.08,1504371712
2009-04-22,850.08,861.78,840.57,843.55,1565982976
2009-04-23,843.55,852.87,835.45,851.92,1376814336
2009-04-24,851.92,871.8,851.92,866.23,1508326528
2009-04-27,866.23,868.83,854.65,857.51,1162458112
2009-04-28,857.51,864.48,847.12,855.16,1057285248
2009-04-29,855.16,882.06,855.16,873.64,1204754560
2009-04-30,873.64,888.7,868.75,872.81,1482173056
2009-05-01,872.81,880.48,866.1,877.52,1039800448
2009-05-04,877.52,907.85,877.52,907.24,1394645888
2009-05-05,907.24,907.7,897.34,903.8,1219992960
2009-05-06,903.8,920.28,903.8,919.53,1531706240
2009-05-07,919.53,929.58,901.36,907.39,1717041536
2009-05-08,907.39,930.17,907.39,929.23,1668093952
2009-05-11,929.23,929.23,908.68,909.24,1294711040
2009-05-12,909.24,915.57,896.46,908.35,1359784448
2009-05-13,908.35,908.35,882.8,883.92,1431637248
2009-05-14,883.92,898.36,882.52,893.07,1226677760
2009-05-15,893.07,896.97,878.94,882.88,1231915520
2009-05-18,882.88,910,882.88,909.71,1143497600
2009-05-19,909.71,916.39,905.22,908.13,1070909184
2009-05-20,908.13,924.6,901.37,903.47,1342190592
2009-05-21,903.47,903.47,879.61,888.33,1246126336
2009-05-22,888.33,896.65,883.75,887,857423424
2009-05-26,887,911.76,881.46,910.33,1168547712
2009-05-27,910.33,913.84,891.87,893.06,1122270464
2009-05-28,893.06,909.45,887.6,906.83,1102692608
2009-05-29,906.83,920.02,903.56,919.14,1482670080
2009-06-01,919.14,947.77,919.14,942.87,1274993536
2009-06-02,942.87,949.38,938.46,944.74,1130612224
